Datum;Schlusspreis
01.01.2019;1883,93
02.01.2019;1881,15
03.01.2019;1853,18
04.01.2019;1904,18
07.01.2019;1919,75
08.01.2019;1935,79
09.01.2019;1950,99
10.01.2019;1957,69
11.01.2019;1957,17
14.01.2019;1948,16
15.01.2019;1963,61
16.01.2019;1966,50
17.01.2019;1975,61
18.01.2019;2000,76
21.01.2019;2000,77
22.01.2019;1978,83
23.01.2019;1980,15
24.01.2019;1983,23
25.01.2019;2001,86
28.01.2019;1989,18
29.01.2019;1989,60
30.01.2019;2010,96
31.01.2019;2028,49
01.02.2019;2029,55
04.02.2019;2037,76
05.02.2019;2051,36
06.02.2019;2047,11
07.02.2019;2026,94
08.02.2019;2020,53
11.02.2019;2021,60
12.02.2019;2045,12
13.02.2019;2052,76
14.02.2019;2047,56
15.02.2019;2066,59
18.02.2019;2072,62
19.02.2019;2075,91
20.02.2019;2083,64
21.02.2019;2077,44
22.02.2019;2086,97
25.02.2019;2091,84
26.02.2019;2091,70
27.02.2019;2092,12
28.02.2019;2085,85
01.03.2019;2096,35
04.03.2019;2090,40
05.03.2019;2087,50
06.03.2019;2078,69
07.03.2019;2061,41
08.03.2019;2051,12
11.03.2019;2074,66
12.03.2019;2083,38
13.03.2019;2095,67
14.03.2019;2096,33
15.03.2019;2108,78
18.03.2019;2117,99
19.03.2019;2120,44
20.03.2019;2112,05
21.03.2019;2127,93
22.03.2019;2094,81
25.03.2019;2087,06
26.03.2019;2102,62
27.03.2019;2094,02
28.03.2019;2095,18
29.03.2019;2107,74
01.04.2019;2131,79
02.04.2019;2131,71
03.04.2019;2143,02
04.04.2019;2142,75
05.04.2019;2149,85
08.04.2019;2152,90
09.04.2019;2143,20
10.04.2019;2147,99
11.04.2019;2147,61
12.04.2019;2159,39
15.04.2019;2161,14
16.04.2019;2163,08
17.04.2019;2160,94
18.04.2019;2160,21
19.04.2019;2160,36
22.04.2019;2161,58
23.04.2019;2174,39
24.04.2019;2168,81
25.04.2019;2165,36
26.04.2019;2173,82
29.04.2019;2175,59
30.04.2019;2178,67
01.05.2019;2170,03
02.05.2019;2161,11
03.05.2019;2177,77
06.05.2019;2166,66
07.05.2019;2135,49
08.05.2019;2131,90
09.05.2019;2119,31
10.05.2019;2126,32
13.05.2019;2086,46
14.05.2019;2098,76
15.05.2019;2110,40
16.05.2019;2126,06
17.05.2019;2116,51
20.05.2019;2104,64
21.05.2019;2117,66
22.05.2019;2111,78
23.05.2019;2087,46
24.05.2019;2095,03
27.05.2019;2096,43
28.05.2019;2084,57
29.05.2019;2064,80
30.05.2019;2066,48
31.05.2019;2046,25
03.06.2019;2045,06
04.06.2019;2077,66
05.06.2019;2095,83
06.06.2019;2104,18
07.06.2019;2126,88
10.06.2019;2135,51
11.06.2019;2139,74
12.06.2019;2134,42
13.06.2019;2136,96
14.06.2019;2130,95
17.06.2019;2130,86
18.06.2019;2150,91
19.06.2019;2161,60
20.06.2019;2183,36
21.06.2019;2178,16
24.06.2019;2178,17
25.06.2019;2163,73
26.06.2019;2158,41
27.06.2019;2166,48
28.06.2019;2178,35
01.07.2019;2192,24
02.07.2019;2198,55
03.07.2019;2213,35
04.07.2019;2215,17
05.07.2019;2205,57
08.07.2019;2194,62
09.07.2019;2193,65
10.07.2019;2201,14
11.07.2019;2205,35
12.07.2019;2212,65
15.07.2019;2214,34
16.07.2019;2208,09
17.07.2019;2197,94
18.07.2019;2198,40
19.07.2019;2194,61
22.07.2019;2197,67
23.07.2019;2209,59
24.07.2019;2217,75
25.07.2019;2206,92
26.07.2019;2215,71
29.07.2019;2212,50
30.07.2019;2203,40
31.07.2019;2187,56
01.08.2019;2173,18
02.08.2019;2149,99
05.08.2019;2097,32
06.08.2019;2109,20
07.08.2019;2114,05
08.08.2019;2146,91
09.08.2019;2135,34
12.08.2019;2117,65
13.08.2019;2134,54
14.08.2019;2086,26
15.08.2019;2082,84
16.08.2019;2108,50
19.08.2019;2131,81
20.08.2019;2119,57
21.08.2019;2135,53
22.08.2019;2131,68
23.08.2019;2094,63
26.08.2019;2105,22
27.08.2019;2104,85
28.08.2019;2111,92
29.08.2019;2133,08
30.08.2019;2138,52
02.09.2019;2136,58
03.09.2019;2126,93
04.09.2019;2149,80
05.09.2019;2174,27
06.09.2019;2178,90
09.09.2019;2178,41
10.09.2019;2179,43
11.09.2019;2194,42
12.09.2019;2201,81
13.09.2019;2205,81
16.09.2019;2195,88
17.09.2019;2201,77
18.09.2019;2201,03
19.09.2019;2204,67
20.09.2019;2197,55
23.09.2019;2193,74
24.09.2019;2182,07
25.09.2019;2184,56
26.09.2019;2183,46
27.09.2019;2175,54
30.09.2019;2180,02
01.10.2019;2158,47
02.10.2019;2121,47
03.10.2019;2131,36
04.10.2019;2153,83
07.10.2019;2151,82
08.10.2019;2124,15
09.10.2019;2137,62
10.10.2019;2150,16
11.10.2019;2179,33
14.10.2019;2175,28
15.10.2019;2196,61
16.10.2019;2195,35
17.10.2019;2201,92
18.10.2019;2195,28
21.10.2019;2209,34
22.10.2019;2204,29
23.10.2019;2208,28
24.10.2019;2215,64
25.10.2019;2222,75
28.10.2019;2231,40
29.10.2019;2232,45
30.10.2019;2237,32
31.10.2019;2233,53
01.11.2019;2252,07
04.11.2019;2261,45
05.11.2019;2259,26
06.11.2019;2261,37
07.11.2019;2266,69
08.11.2019;2268,83
11.11.2019;2266,36
12.11.2019;2270,01
13.11.2019;2268,33
14.11.2019;2265,29
15.11.2019;2282,80
18.11.2019;2285,76
19.11.2019;2284,85
20.11.2019;2274,92
21.11.2019;2270,36
22.11.2019;2273,89
25.11.2019;2290,65
26.11.2019;2294,78
27.11.2019;2302,67
28.11.2019;2301,79
29.11.2019;2292,26
02.12.2019;2276,40
03.12.2019;2263,10
04.12.2019;2275,47
05.12.2019;2278,63
06.12.2019;2296,39
09.12.2019;2292,58
10.12.2019;2289,67
11.12.2019;2295,02
12.12.2019;2309,36
13.12.2019;2319,73
16.12.2019;2337,45
17.12.2019;2336,62
18.12.2019;2333,28
19.12.2019;2340,65
20.12.2019;2349,87
23.12.2019;2350,75
24.12.2019;2351,84
25.12.2019;2351,22
26.12.2019;2360,21
27.12.2019;2364,90
30.12.2019;2353,25
31.12.2019;2358,47
01.01.2020;2358,48
02.01.2020;2375,94
03.01.2020;2363,12
06.01.2020;2364,49
07.01.2020;2362,43
08.01.2020;2366,93
09.01.2020;2379,85
10.01.2020;2377,62
13.01.2020;2388,25
14.01.2020;2388,50
15.01.2020;2392,06
16.01.2020;2406,17
17.01.2020;2415,51
20.01.2020;2415,04
21.01.2020;2409,29
22.01.2020;2410,23
23.01.2020;2406,14
24.01.2020;2395,31
27.01.2020;2356,09
28.01.2020;2372,52
29.01.2020;2373,52
30.01.2020;2372,01
31.01.2020;2342,41
03.02.2020;2351,45
04.02.2020;2383,30
05.02.2020;2404,96
06.02.2020;2416,48
07.02.2020;2404,75
10.02.2020;2413,10
11.02.2020;2421,26
12.02.2020;2434,95
13.02.2020;2429,89
14.02.2020;2431,37
17.02.2020;2430,69
18.02.2020;2421,47
19.02.2020;2431,23
20.02.2020;2420,21
21.02.2020;2402,80
24.02.2020;2330,75
25.02.2020;2269,42
26.02.2020;2258,62
27.02.2020;2177,25
28.02.2020;2141,12
02.03.2020;2212,38
03.03.2020;2179,48
04.03.2020;2243,09
05.03.2020;2192,35
06.03.2020;2149,29
09.03.2020;1995,22
10.03.2020;2051,96
11.03.2020;1972,05
12.03.2020;1776,53
13.03.2020;1881,64
16.03.2020;1702,79
17.03.2020;1772,94
18.03.2020;1682,25
19.03.2020;1694,45
20.03.2020;1650,94
23.03.2020;1602,11
24.03.2020;1742,61
25.03.2020;1785,99
26.03.2020;1875,56
27.03.2020;1827,17
30.03.2020;1870,48
31.03.2020;1852,73
01.04.2020;1781,27
02.04.2020;1803,07
03.04.2020;1776,86
06.04.2020;1881,48
07.04.2020;1895,04
08.04.2020;1940,08
09.04.2020;1970,67
10.04.2020;1971,96
13.04.2020;1956,75
14.04.2020;2006,81
15.04.2020;1960,20
16.04.2020;1964,33
17.04.2020;2017,51
20.04.2020;1994,03
21.04.2020;1932,25
22.04.2020;1968,27
23.04.2020;1974,38
24.04.2020;1987,65
27.04.2020;2022,50
28.04.2020;2023,35
29.04.2020;2070,76
30.04.2020;2052,85
01.05.2020;2004,79
04.05.2020;1997,75
05.05.2020;2018,12
06.05.2020;2007,60
07.05.2020;2026,12
08.05.2020;2061,89
11.05.2020;2060,70
12.05.2020;2034,06
13.05.2020;1998,48
14.05.2020;1999,89
15.05.2020;2008,41
18.05.2020;2069,00
19.05.2020;2061,37
20.05.2020;2092,03
21.05.2020;2074,10
22.05.2020;2071,90
25.05.2020;2081,83
26.05.2020;2114,27
27.05.2020;2136,90
28.05.2020;2148,33
29.05.2020;2147,88
01.06.2020;2163,93
02.06.2020;2187,09
03.06.2020;2222,54
04.06.2020;2218,50
05.06.2020;2266,76
08.06.2020;2288,04
09.06.2020;2275,28
10.06.2020;2267,36
11.06.2020;2154,44
12.06.2020;2164,46
15.06.2020;2171,44
16.06.2020;2219,10
17.06.2020;2217,90
18.06.2020;2215,64
19.06.2020;2208,97
22.06.2020;2217,82
23.06.2020;2236,04
24.06.2020;2180,12
25.06.2020;2193,40
26.06.2020;2157,19
29.06.2020;2176,44
30.06.2020;2201,79
01.07.2020;2211,27
02.07.2020;2227,65
03.07.2020;2226,40
06.07.2020;2264,29
07.07.2020;2243,17
08.07.2020;2252,64
09.07.2020;2240,73
10.07.2020;2259,60
13.07.2020;2253,76
14.07.2020;2270,69
15.07.2020;2298,78
16.07.2020;2288,81
17.07.2020;2293,92
20.07.2020;2312,95
21.07.2020;2321,55
22.07.2020;2327,76
23.07.2020;2308,12
24.07.2020;2291,58
27.07.2020;2311,62
28.07.2020;2299,91
29.07.2020;2319,71
30.07.2020;2304,01
31.07.2020;2304,98
03.08.2020;2324,08
04.08.2020;2336,82
05.08.2020;2355,94
06.08.2020;2359,89
07.08.2020;2355,97
10.08.2020;2360,87
11.08.2020;2359,47
12.08.2020;2391,80
13.08.2020;2390,09
14.08.2020;2384,20
17.08.2020;2393,97
18.08.2020;2399,37
19.08.2020;2394,47
20.08.2020;2389,15
21.08.2020;2392,11
24.08.2020;2417,05
25.08.2020;2422,95
26.08.2020;2446,05
27.08.2020;2442,79
28.08.2020;2456,86
31.08.2020;2455,51
01.09.2020;2467,25
02.09.2020;2494,10
03.09.2020;2425,78
04.09.2020;2399,60
07.09.2020;2408,05
08.09.2020;2354,41
09.09.2020;2393,75
10.09.2020;2367,80
11.09.2020;2368,14
14.09.2020;2396,37
15.09.2020;2407,98
16.09.2020;2403,50
17.09.2020;2383,54
18.09.2020;2367,99
21.09.2020;2329,49
22.09.2020;2343,39
23.09.2020;2305,57
24.09.2020;2300,30
25.09.2020;2326,85
28.09.2020;2366,41
29.09.2020;2359,63
30.09.2020;2367,27
01.10.2020;2380,02
02.10.2020;2362,41
05.10.2020;2403,50
06.10.2020;2382,57
07.10.2020;2409,40
08.10.2020;2427,36
09.10.2020;2447,76
12.10.2020;2477,92
13.10.2020;2464,18
14.10.2020;2453,61
15.10.2020;2435,93
16.10.2020;2440,14
19.10.2020;2417,93
20.10.2020;2422,71
21.10.2020;2417,83
22.10.2020;2421,00
23.10.2020;2430,54
26.10.2020;2390,08
27.10.2020;2381,65
28.10.2020;2306,65
29.10.2020;2318,44
30.10.2020;2292,93
02.11.2020;2322,14
03.11.2020;2369,27
04.11.2020;2416,61
05.11.2020;2466,58
06.11.2020;2470,05
09.11.2020;2502,06
10.11.2020;2507,10
11.11.2020;2528,25
12.11.2020;2509,24
13.11.2020;2529,29
16.11.2020;2561,50
17.11.2020;2558,43
18.11.2020;2543,36
19.11.2020;2546,31
20.11.2020;2540,02
23.11.2020;2546,90
24.11.2020;2587,19
25.11.2020;2589,67
26.11.2020;2590,15
27.11.2020;2601,45
30.11.2020;2583,14
01.12.2020;2609,01
02.12.2020;2613,91
03.12.2020;2621,28
04.12.2020;2639,66
07.12.2020;2635,88
08.12.2020;2642,05
09.12.2020;2627,53
10.12.2020;2628,59
11.12.2020;2621,89
14.12.2020;2619,43
15.12.2020;2643,74
16.12.2020;2654,79
17.12.2020;2674,87
18.12.2020;2666,31
21.12.2020;2644,97
22.12.2020;2643,07
23.12.2020;2651,41
24.12.2020;2659,04
25.12.2020;2659,27
28.12.2020;2676,80
29.12.2020;2682,19
30.12.2020;2686,06
31.12.2020;2690,04
